iter	MultiClass
0	1.325075487
1	1.271577416
2	1.229746108
3	1.188122971
4	1.152570994
5	1.123189705
6	1.093948363
7	1.072093615
8	1.047173255
9	1.025035609
10	1.005182916
11	0.9872349596
12	0.9685348536
13	0.9507808219
14	0.9364148245
15	0.9215588335
16	0.9104395312
17	0.897100844
18	0.8846884798
19	0.8729132949
20	0.8621623533
21	0.8521367764
22	0.8413564908
23	0.8316193621
24	0.8216727943
25	0.8136736388
26	0.8060465356
27	0.798663685
28	0.7919494662
29	0.7852124204
30	0.7791790525
31	0.7708929508
32	0.7638557496
33	0.7585361172
34	0.7511169454
35	0.7453024395
36	0.7391576285
37	0.7335216476
38	0.7282188074
39	0.7233325731
40	0.7188902627
41	0.7131416777
42	0.705213201
43	0.7003815951
44	0.694076883
45	0.6894953621
46	0.6861221683
47	0.6826712285
48	0.6772964782
49	0.6741931668
50	0.6673589586
51	0.6626536545
52	0.6588928694
53	0.6530029132
54	0.6475251698
55	0.6404374243
56	0.6339101224
57	0.627684314
58	0.6232618274
59	0.6181067322
60	0.6136428421
61	0.6088375063
62	0.6070522003
63	0.6014644457
64	0.598183905
65	0.5925272277
66	0.5873924853
67	0.5830791204
68	0.5789241862
69	0.5740924969
70	0.5705542369
71	0.5672022646
72	0.5630607297
73	0.5606571727
74	0.5571578304
75	0.553372354
76	0.5493510663
77	0.545778008
78	0.5440377263
79	0.5400718334
80	0.5362663227
81	0.5330598421
82	0.5274380054
83	0.5229440058
84	0.5196603062
85	0.5141503831
86	0.5109126205
87	0.5095825597
88	0.5046680272
89	0.5010875035
90	0.4959702191
91	0.4924328095
92	0.4887195909
93	0.4864856992
94	0.4847756906
95	0.4819310664
96	0.4772693508
97	0.4744136492
98	0.4719044681
99	0.4684439107
100	0.4656620306
101	0.4632559991
102	0.4602382113
103	0.4576361011
104	0.4544108174
105	0.4502808773
106	0.4481643408
107	0.4447960124
108	0.4415468935
109	0.4381308181
110	0.4337893305
111	0.4315501673
112	0.4281165241
113	0.4247354515
114	0.4219728812
115	0.4176640871
116	0.4142487291
117	0.4126386207
118	0.4102385529
119	0.4069692987
120	0.4047105051
121	0.4014020772
122	0.3996483178
123	0.3965426985
124	0.3937369832
125	0.3919247472
126	0.3891069748
127	0.3869177901
128	0.3843374007
129	0.3826508803
130	0.3803374793
131	0.3783232673
132	0.3764158292
133	0.3741318633
134	0.3721100705
135	0.3704481876
136	0.368902132
137	0.3670600673
138	0.3636450866
139	0.3614825786
140	0.3585829133
141	0.3574327922
142	0.3551693357
143	0.3519960179
144	0.3487144932
145	0.3469997872
146	0.3438700118
147	0.3421215994
148	0.3399679459
149	0.3379791763
150	0.3364521262
151	0.3341772181
152	0.3328188812
153	0.3301636006
154	0.3279967263
155	0.3262444999
156	0.3247805991
157	0.3227201844
158	0.3203173645
159	0.3185622179
160	0.31675181
161	0.3150299836
162	0.3136910083
163	0.3121019474
164	0.3100420346
165	0.308009136
166	0.3070129995
167	0.3048529856
168	0.3031287495
169	0.3020790394
170	0.3011146372
171	0.2983076575
172	0.2959848577
173	0.2944408267
174	0.2934509715
175	0.2920343906
176	0.2896666769
177	0.2877525215
178	0.2859898864
179	0.284630759
180	0.2829072079
181	0.2811459245
182	0.2801362344
183	0.2789929571
184	0.2776296669
185	0.2766173076
186	0.2747285137
187	0.272602967
188	0.270930332
189	0.2696748994
190	0.2679430708
191	0.2661318296
192	0.2644617337
193	0.2629442102
194	0.261363401
195	0.2601566174
196	0.2589146313
197	0.2571351139
198	0.2553544239
199	0.2538447939
200	0.2527335217
201	0.2509797915
202	0.2496194139
203	0.2488129728
204	0.2476425751
205	0.2466538249
206	0.2459797245
207	0.2443666179
208	0.2430654673
209	0.2415568983
210	0.2402237993
211	0.2386792513
212	0.2370611724
213	0.2359982799
214	0.2343930757
215	0.2328408308
216	0.231434326
217	0.2299621638
218	0.2285505103
219	0.2273285266
220	0.2262692688
221	0.2247264284
222	0.2237547478
223	0.2225910285
224	0.2212255885
225	0.2203336212
226	0.2191560003
227	0.2181037305
228	0.2167518952
229	0.2154572985
230	0.2139415573
231	0.2129645782
232	0.2116735972
233	0.211100365
234	0.2101541941
235	0.2089019455
236	0.2074710795
237	0.2063089402
238	0.2051164641
239	0.2038690512
240	0.2033715492
241	0.2027896098
242	0.2014939935
243	0.2004981475
244	0.1992690604
245	0.1985048054
246	0.1973590451
247	0.196935437
248	0.1956364811
249	0.1942519189
250	0.1931122381
251	0.1920071028
252	0.1908845933
253	0.18981884
254	0.1892608038
255	0.1885088403
256	0.187843073
257	0.1871529496
258	0.1861022418
259	0.1854087709
260	0.1844117559
261	0.1831109699
262	0.182157408
