iter	Passed	Remaining
0	33	33687
1	61	30453
2	94	31564
3	124	30964
4	162	32243
5	190	31509
6	221	31364
7	251	31152
8	282	31148
9	313	31024
10	342	30795
11	369	30447
12	395	30049
13	422	29734
14	447	29393
15	483	29742
16	524	30356
17	555	30292
18	585	30254
19	620	30417
20	650	30314
21	697	31008
22	728	30958
23	761	30949
24	799	31190
25	826	30944
26	852	30713
27	885	30735
28	933	31244
29	963	31139
30	996	31148
31	1022	30925
32	1048	30711
33	1072	30479
34	1101	30383
35	1134	30376
36	1162	30247
37	1199	30364
38	1230	30319
39	1259	30223
40	1283	30033
41	1312	29940
42	1338	29791
43	1362	29596
44	1389	29483
45	1415	29354
46	1438	29173
47	1474	29245
48	1503	29187
49	1528	29039
50	1558	29005
51	1590	29001
52	1615	28874
53	1643	28789
54	1672	28739
55	1699	28651
56	1733	28674
57	1758	28562
58	1787	28505
59	1819	28503
60	1843	28378
61	1867	28259
62	1891	28136
63	1916	28030
64	1946	27998
65	1973	27921
66	1998	27826
67	2026	27772
68	2052	27698
69	2077	27606
70	2115	27676
71	2142	27620
72	2166	27506
73	2191	27417
74	2212	27291
75	2243	27278
76	2275	27281
77	2307	27279
78	2331	27181
79	2357	27115
80	2384	27053
81	2409	26972
82	2440	26958
83	2467	26903
84	2491	26818
85	2521	26793
86	2547	26739
87	2577	26714
88	2603	26647
89	2632	26620
90	2656	26532
91	2679	26445
92	2705	26389
93	2728	26302
94	2763	26330
95	2790	26275
96	2820	26256
97	2849	26229
98	2877	26191
99	2907	26170
100	2940	26175
101	2977	26214
102	3005	26170
103	3035	26152
104	3064	26117
105	3105	26191
106	3133	26154
107	3162	26117
108	3193	26108
109	3225	26097
110	3252	26050
111	3277	25989
112	3307	25958
113	3330	25883
114	3357	25840
115	3381	25771
116	3406	25709
117	3434	25673
118	3458	25603
119	3486	25571
120	3511	25508
121	3537	25457
122	3567	25433
123	3594	25395
124	3632	25429
125	3667	25436
126	3695	25401
127	3730	25415
128	3761	25399
129	3792	25377
130	3826	25383
131	3852	25331
132	3879	25292
133	3908	25261
134	3939	25242
135	3965	25191
136	3991	25143
137	4018	25100
138	4045	25058
139	4082	25079
140	4108	25029
141	4136	24994
142	4165	24965
143	4195	24938
144	4221	24892
145	4249	24855
146	4282	24852
147	4310	24812
148	4334	24756
149	4364	24731
150	4397	24726
151	4424	24683
152	4451	24643
153	4480	24616
154	4511	24594
155	4542	24574
156	4571	24545
157	4606	24551
158	4635	24520
159	4666	24501
160	4696	24472
161	4724	24436
162	4753	24410
163	4777	24351
164	4806	24321
165	4830	24271
166	4854	24215
167	4884	24190
168	4908	24135
169	4948	24160
170	4973	24113
171	4998	24064
172	5028	24037
173	5060	24021
174	5086	23978
175	5116	23955
176	5146	23928
177	5180	23921
178	5207	23885
179	5237	23859
180	5275	23871
181	5305	23844
182	5332	23808
183	5370	23816
184	5394	23766
185	5420	23723
186	5451	23700
187	5478	23660
188	5502	23613
189	5533	23590
190	5568	23586
191	5598	23559
192	5627	23531
193	5654	23493
194	5681	23453
195	5710	23425
196	5738	23392
197	5772	23383
198	5809	23382
199	5841	23367
200	5868	23328
201	5899	23305
202	5923	23258
203	5953	23228
204	5977	23182
205	6006	23151
206	6039	23138
207	6068	23105
208	6099	23084
209	6133	23075
210	6166	23059
211	6198	23038
212	6227	23009
213	6261	22997
214	6290	22968
215	6316	22928
216	6342	22885
217	6372	22859
218	6398	22818
219	6430	22799
220	6459	22769
221	6493	22757
222	6519	22716
223	6552	22698
224	6578	22657
225	6609	22635
226	6636	22598
227	6670	22587
228	6698	22552
229	6725	22515
230	6757	22497
231	6789	22477
232	6824	22463
233	6852	22432
234	6886	22419
235	6913	22382
236	6943	22354
237	6970	22315
238	7003	22299
239	7032	22270
240	7064	22249
241	7100	22239
242	7136	22232
243	7166	22203
244	7203	22198
245	7231	22165
246	7266	22151
247	7299	22132
248	7335	22122
249	7364	22092
250	7392	22060
251	7425	22039
252	7457	22017
253	7483	21979
254	7516	21958
255	7542	21919
256	7572	21891
257	7606	21875
258	7632	21837
259	7658	21798
260	7685	21760
261	7722	21752
262	7751	21723
263	7777	21681
264	7805	21649
265	7832	21611
266	7864	21589
267	7896	21568
268	7929	21549
269	7957	21513
270	7985	21481
271	8015	21452
272	8039	21408
273	8065	21370
274	8088	21324
275	8121	21302
276	8144	21259
277	8172	21224
278	8206	21207
279	8232	21169
280	8256	21126
281	8285	21096
282	8315	21068
283	8341	21030
284	8368	20993
285	8398	20965
286	8426	20933
287	8458	20910
288	8489	20885
289	8523	20868
290	8551	20835
291	8582	20809
292	8609	20773
293	8635	20736
294	8661	20699
295	8691	20671
296	8715	20629
297	8740	20590
298	8767	20554
299	8795	20522
300	8827	20498
301	8853	20463
302	8878	20423
303	8907	20392
304	8938	20368
305	8967	20337
306	8992	20299
307	9017	20260
308	9045	20227
309	9080	20211
310	9110	20182
311	9149	20175
312	9173	20135
313	9198	20096
314	9223	20057
315	9254	20031
316	9282	19998
317	9316	19981
318	9342	19945
319	9370	19913
